(468, 72)
         11765 function calls (11523 primitive calls) in 3.419 CPU seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.002    0.002 {cv.Split}
        1    0.000    0.000    0.000    0.000 {cv.Threshold}
        2    0.065    0.033    0.065    0.033 {cv.WarpPerspective}
        1    0.000    0.000    0.000    0.000 {dir}
        1    0.001    0.001    3.419    3.419 {execfile}
       96    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.000    0.000 {globals}
        8    0.000    0.000    0.000    0.000 {hasattr}
       10    0.000    0.000    0.000    0.000 {imp.acquire_lock}
       10    0.000    0.000    0.000    0.000 {imp.release_lock}
      434    0.000    0.000    0.000    0.000 {isinstance}
        1    0.000    0.000    0.000    0.000 {issubclass}
1396/1352    0.000    0.000    0.000    0.000 {len}
        2    0.000    0.000    0.000    0.000 {locals}
       23    0.000    0.000    0.003    0.000 {map}
       32    0.000    0.000    0.000    0.000 {max}
       13    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       11    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      992    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        4    0.002    0.001    0.002    0.001 {method 'blit' of 'pygame.Surface' objects}
        5    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        2    0.034    0.017    0.034    0.017 {method 'convert' of 'pygame.Surface' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
     1068    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      103    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'get_height' of 'pygame.Surface' objects}
        2    0.000    0.000    0.000    0.000 {method 'get_width' of 'pygame.Surface' objects}
      111    0.000    0.000    0.000    0.000 {method 'h_next' of 'cv.cvseq' objects}
       10    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       86    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       13    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       27    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     1132    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       23    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'read' of 'file' objects}
       23    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.001    0.001    0.001    0.001 {method 'render' of 'pygame.font.Font' objects}
       68    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       60    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       66    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       52    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      132    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        6    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.015    0.015    0.015    0.015 {method 'tick' of 'Clock' objects}
        1    0.002    0.002    0.002    0.002 {method 'tostring' of 'cv.iplimage' objects}
        1    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      186    0.000    0.000    0.000    0.000 {min}
       22    0.000    0.000    0.000    0.000 {nt._getfullpathname}
       20    0.000    0.000    0.000    0.000 {nt.access}
        1    0.000    0.000    0.000    0.000 {nt.getcwd}
       20    0.002    0.000    0.002    0.000 {nt.listdir}
       59    0.001    0.000    0.001    0.000 {nt.stat}
        8    0.000    0.000    0.000    0.000 {open}
       77    0.000    0.000    0.000    0.000 {ord}
        3    0.182    0.061    0.182    0.061 {pygame.base.init}
        2    0.002    0.001    0.002    0.001 {pygame.display.flip}
        1    0.000    0.000    0.000    0.000 {pygame.display.set_caption}
        1    0.543    0.543    0.564    0.564 {pygame.display.set_mode}
        1    0.001    0.001    0.001    0.001 {pygame.event.get}
        1    0.004    0.004    0.004    0.004 {pygame.image.fromstring}
        2    0.066    0.033    0.066    0.033 {pygame.imageext.load_extended}
        1    0.000    0.000    0.000    0.000 {pygame.time.Clock}
        2    2.002    1.001    2.002    1.001 {pygame.time.wait}
        1    0.002    0.002    0.002    0.002 {pygame.transform.flip}
       16    0.000    0.000    0.000    0.000 {range}
        2    0.000    0.000    0.000    0.000 {repr}
        2    0.000    0.000    0.000    0.000 {sys._getframe}
        4    0.000    0.000    0.000    0.000 {sys.exc_info}
        2    0.000    0.000    0.000    0.000 {sys.getwindowsversion}
        3    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 {thread.get_ident}


